president,birthplace,political party,from,to
George Washington,Va.,Federalist,1789,1797
John Adams,Mass.,Federalist,1797,1801
Thomas Jefferson,Va.,Democratic-Republican,1801,1809
James Madison,Va.,Democratic-Republican,1809,1817
James Monroe,Va.,Democratic-Republican,1817,1825
John Quincy Adams,Mass.,National Republican,1825,1829
Andrew Jackson,S.C.,Democratic,1829,1837
Martin Van Buren,N.Y.,Democratic,1837,1841
William Henry Harrison,Va.,Whig,1841,1841
John Tyler,Va.,Whig,1841,1845
James K. Polk,N.C.,Democratic,1845,1849
Zachary Taylor,Va.,Whig,1849,1850
Millard Fillmore,N.Y.,Whig,1850,1853
Franklin Pierce,N.H.,Democratic,1853,1857
James Buchanan,Pa.,Democratic,1857,1861
Abraham Lincoln,Ky.,Republican,1861,1865
Andrew Johnson,N.C.,Democratic (Union),1865,1869
Ulysses S. Grant,Ohio,Republican,1869,1877
Rutherford B. Hayes,Ohio,Republican,1877,1881
James A. Garfield,Ohio,Republican,1881,1881
Chester A. Arthur,Vt.,Republican,1881,1885
Grover Cleveland,N.J.,Democratic,1885,1889
Benjamin Harrison,Ohio,Republican,1889,1893
Grover Cleveland,N.J.,Democratic,1893,1897
William McKinley,Ohio,Republican,1897,1901
Theodore Roosevelt,N.Y.,Republican,1901,1909
William Howard Taft,Ohio,Republican,1909,1913
Woodrow Wilson,Va.,Democratic,1913,1921
Warren G. Harding,Ohio,Republican,1921,1923
Calvin Coolidge,Vt.,Republican,1923,1929
Herbert Hoover,Iowa,Republican,1929,1933
Franklin D. Roosevelt,N.Y.,Democratic,1933,1945
Harry S. Truman,Mo.,Democratic,1945,1953
Dwight D. Eisenhower,Texas,Republican,1953,1961
John F. Kennedy,Mass.,Democratic,1961,1963
Lyndon B. Johnson,Texas,Democratic,1963,1969
Richard M. Nixon,Calif.,Republican,1969,1974
Gerald R. Ford,Neb.,Republican,1974,1977
Jimmy Carter,Ga.,Democratic,1977,1981
Ronald Reagan,Ill.,Republican,1981,1989
George Bush,Mass.,Republican,1989,1993
Bill Clinton,Ark.,Democratic,1993,2001
George W. Bush,Conn.,Republican,2001,2009
Barack Obama,Hawaii,Democratic,2009,2017
Donald Trump,N.Y.,Republican,2017,2021
Joe Biden,Pa.,Democratic,2021,2025
