source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,PayPal launches PYUSD stablecoin backed by the US dollar,"PayPal has launched a stablecoin called PayPal USD, starting today and “rolling out in the coming weeks.” The new stablecoin can be used for purchases and person-to-person payments.",https://www.theverge.com/2023/8/7/23822752/paypal-pyusd-stablecoin-cryptocurrency,https://cdn.vox-cdn.com/thumbor/AzUxs8UmwIY2lOByn5LIX8geWjY=/0x0:2200x1650/1200x628/filters:focal(1100x825:1101x826)/cdn.vox-cdn.com/uploads/chorus_asset/file/24835037/PayPal_stablecoin.png,2023-08-07T14:07:51Z,"PayPal launches PYUSD stablecoin backed by the US dollar
PayPal launches PYUSD stablecoin backed by the US dollar
 / PayPal USD is built on Ethereum and is 1:1 redeemable for US dollars.
PayPal is… [+1960 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Cheryl Eddy,Everyone's Favorite Knife-Wielding Robot Returns in Next Week's Futurama,"Futurama’s new season continues its examination of 3023 by way of 2023 with next week’s “How the West Was 1010001,” which sees the gang heading to, ahem, Doge City to cash in on the bitcoin mining craze. Like most places they visit, they encounter absurdities…",https://gizmodo.com/futurama-hulu-new-ep-3-clips-bitcoin-crypto-wild-west-1850708869,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/11cf0e30bb3cfd27a7b0f55aa6eddfd3.jpg",2023-08-04T20:45:00Z,"Futuramas new season continues its examination of 3023 by way of 2023 with next weeks How the West Was 1010001, which sees the gang heading to, ahem, Doge City to cash in on the bitcoin mining craze.… [+2351 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Gordon Jackson and James Whitbrook,It's Time For Even More Casting Rumors for Fantastic Four,"Final Destination’s Jeffrey Reddick says the sixth film is ready to enter production—as soon as the SAG-AFTRA strike comes to an end. Dracula strikes in even more footage from Last Voyage of the Demeter. Plus, you’re not ready for the first details about Rive…",https://gizmodo.com/fantastic-four-casting-rumors-sue-storm-vanessa-kirby-1850703547,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/42c099e27de9e20476aba1b5d4f5d590.png",2023-08-04T14:00:00Z,Final Destinations Jeffrey Reddick says the sixth film is ready to enter productionas soon as the SAG-AFTRA strike comes to an end. Dracula strikes in even more footage from Last Voyage of the Demete… [+3331 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Barr,"Dropbox Is Dropping Unlimited Storage, Blames Crypto Miners","Dropbox is no longer offering new customers unlimited cloud storage. The company says crypto miners and other dastardly individuals pooled or resold storage space. Now, none of us can have nice things.Read more...",https://gizmodo.com/dropbox-ends-unlimited-storage-blames-crypto-miners-1850773843,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/cdcdab520fde65cd63b7cab335d72f46.jpg",2023-08-25T14:10:00Z,"Dropbox is no longer offering new customers unlimited cloud storage. The company says crypto miners and other dastardly individuals pooled or resold storage space. Now, none of us can have nice thing… [+2867 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Anonymous Sudan hacks X to put pressure on Elon Musk over Starlink,Prolific hackers accused of being a front for Russian cyber-operation shares counter evidence with the BBC.,https://www.bbc.co.uk/news/technology-66668053,https://ichef.bbci.co.uk/news/1024/branded_news/33D9/production/_130937231_21071135-919a-4cf4-8320-f1cb3c847dda.jpg,2023-08-31T08:45:39Z,"A hacking group called Anonymous Sudan took X, formerly known as Twitter, offline in more than a dozen countries on Tuesday morning in an attempt to pressurise Elon Musk into launching his Starlink s… [+4609 chars]"
"{'id': 'ars-technica', 'name': 'Ars Technica'}",Kevin Purdy,"GameStop, citing “regulatory uncertainty,” winds down its crypto and NFT wallet",Layoffs from late last year may have hinted at company's drift away from crypto.,https://arstechnica.com/gaming/2023/08/gamestop-citing-regulatory-uncertainty-winds-down-its-crypto-and-nft-wallet/,https://cdn.arstechnica.net/wp-content/uploads/2023/08/gamestop_nft-760x380.png,2023-08-04T16:20:03Z,"Enlarge/ An artifact from an earlier time in GameStop's crypto enthusiasm, the launch of its NFT marketplace in July 2022.
26 with 
GameStop will still sell you NFTs, but you now have to store and … [+2679 chars]"
"{'id': 'google-news', 'name': 'Google News'}",,Binance Australia customers seen selling bitcoin at a discount – Reuters.com - CryptoSaurus,Binance Australia customers seen selling bitcoin at a discount – Reuters.com  CryptoSaurus,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vY3J5cHRvc2F1cnVzLnRlY2gvYmluYW5jZS1hdXN0cmFsaWEtY3VzdG9tZXJzLXNlZW4tc2VsbGluZy1iaXRjb2luLWF0LWEtZGlzY291bnQtcmV1dGVycy1jb20v0gEA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,,2023-08-14T10:04:42Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]"
"{'id': None, 'name': 'CNET'}",Gael Fashingbauer Cooper,Verizon Makes It Easier for You to Stop Getting Spam Texts - CNET,You can now block all of those text messages that appear to come from random email addresses.,https://www.cnet.com/tech/mobile/verizon-makes-it-easier-for-you-to-stop-getting-spam-texts/,https://www.cnet.com/a/img/resize/43683c31fdcf15b86407d3efb1c5b4a4f132f65f/hub/2023/08/29/06d03640-84be-4172-bfb2-4ee91d29fff3/email-to-text-spam-1230x690.jpg?auto=webp&fit=crop&height=675&width=1200,2023-08-29T19:27:00Z,"Text messaging can be a helpful and effective way to communicate -- if only your phone wasn't cluttered with creepy spam texts hyping Bitcoin, or trying to romance you into sharing your bank password… [+1299 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",mmark@businessinsider.com (Michelle Mark),'Crypto couple' husband confesses to being the original Bitfinex hacker during plea hearing,"Ilya Lichtenstein pleaded guilty to conspiring to launder the stolen cryptocurrency, and even admitted to the original 2016 Bitfinex hack.",https://www.businessinsider.com/crypto-couple-husband-admits-to-bitfinex-hack-at-plea-hearing-2023-8,https://i.insider.com/620467843b86990018b2a8cb?width=1200&format=jpeg,2023-08-03T17:41:50Z,"Ilya Lichtenstein pleaded guilty on Thursday to a $4.5 billion bitcoin-laundering scheme in which they plotted to sell cryptocurrency stolen during the 2016 hack of Bitfinex.
Lichtenstein, a Russian… [+2239 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",fdemott@insider.com (Filip De Mott),US stocks rise as tech sector leads rally amid high hopes for Nvidia earnings,Stocks looked to break out of the August slump as investors gear up for Nvidia earnings and the Federal Reserve's Jackson Hole summit.,https://markets.businessinsider.com/news/stocks/stock-market-news-today-tech-sectorsrally-nvidia-ai-earnings-2023-8,https://i.insider.com/64e4b6e5b698ac0019df0159?width=1200&format=jpeg,2023-08-22T13:38:51Z,"US stocks were mostly higher Tuesday, extending gains sparked by expectations around upcoming earnings reports and the Federal Reserve's Jackson Hole meeting.
Following a three week sell-off, market… [+1181 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",madams@businessinsider.com (Max Adams),US stocks rise after CPI shows inflation came in cooler than expected in July,"Inflation in July was higher than June but still lower than what was expected, with markets still eyeing a Fed pause on rate hikes next month.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-inflation-reoort-july-cpi-fed-markets-2023-8,https://i.insider.com/64d4d6124dd2b50019c2aef4?width=1200&format=jpeg,2023-08-10T13:35:12Z,"US stocks jumped on Thursday as July Consumer Price Index data showed inflation rose last month at a slower rate than economists were predicting. 
Inflation rose 3.2% on an annualized basis in July.… [+1445 chars]"
